
车型,选车类型,价格/万,新车价格,上牌时间,公里数,排放标准,排量,过户信息,年检到期,交强险,商业险到期,发动机,变速箱,网址
宝马3系 2013款 320Li 时尚型,严选车,17.19,原价17.52万,2014-03,4.99万公里,国四,2.0,0次过户,2020-3,2020-4,已过期,2.0T 184马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/bj/7155f98da95e9673x.htm
长城M4 2012款 1.5L 手动豪华型,严选车,¥2.99,新车指导价7.40万(含税),2013-07,5.59万公里,国四,1.5,0次过户,2019-7,2019-7,已过期,1.5L 106马力 L4,5档手动变速箱(MT),https://www.guazi.com/baoding/e690c172eeae8920x.htm
北汽绅宝 绅宝X55 2016款 1.5T 手动舒适版,严选车,¥4.30,新车指导价10.30万(含税),2016-01,2.54万公里,国五,1.5,0次过户,2020-1,2020-1,2000-1,1.5T 150马力 L4,6档手动变速箱(MT),https://www.guazi.com/bj/a6b35bce3583163fx.htm
长城M4 2014款 1.5L 手动舒适型,严选车,¥3.33,新车指导价7.00万(含税),2015-04,1.92万公里,国五,1.5,0次过户,2021-4,2020-4,已过期,1.5L 106马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/a2397efbfc97fff2x.htm
奇瑞 瑞虎 2012款 精英版 改款 1.6L 手动舒适型DVVT,严选车,3.09,原价3.17万,2014-05,4.38万公里,国四,1.6,0次过户,2020-5,2020-5,已过期,1.6L 126马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/43e45e36ac59368ax.htm
别克 昂科威 2016款 28T 四驱精英型,严选车,¥15.15,新车指导价29.30万(含税),2016-04,3.52万公里,国五,2.0,0次过户,2020-4,2020-3,2020-3,2.0T 260马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/f9a94167545be159x.htm
比亚迪S6 2011款 2.4L 自动尊享型,严选车,¥3.70,新车指导价14.20万(含税),2012-11,7.54万公里,国四,2.4,1次过户,2019-11,2019-12,已过期,2.4L 160马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/bj/16c23d1277900c2ex.htm
雷克萨斯NX 2016款 200 全驱 锋尚版,严选车,¥25.46,新车指导价39.90万(含税),2016-09,2.99万公里,国五,2.0,0次过户,2020-9,2019-9,已过期,2.0L 150马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/tj/ed46c14bc1dc1f6cx.htm
凯迪拉克XT5 2016款 28T 四驱领先型,严选车,¥20.45,新车指导价52.10万(含税),2016-08,15.2万公里,国五,2.0,0次过户,2020-8,2019-8,已过期,2.0T 269马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/tj/16e93e53cbd6d40ax.htm
奥迪A6L 2016款 45 TFSI quattro 运动型,严选车,¥32.75,新车指导价57.00万(含税),2016-06,5.25万公里,国五,3.0,1次过户,2020-6,2019-6,已过期,3.0T 272马力 V6,7档双离合变速箱(DCT),https://www.guazi.com/langfang/a183f03298b70b55x.htm
丰田 花冠 2013款 1.6L 自动卓越版,严选车,¥6.13,新车指导价11.80万(含税),2013-09,1.91万公里,国四,1.6,0次过户,2019-9,2019-9,已过期,1.6L 120马力 L4,4档自动变速箱(AT),https://www.guazi.com/bj/82d43d6fce1d726ex.htm
大众POLO 2016款 1.4L 手动风尚型,严选车,5.45,原价5.49万,2018-05,0.89万公里,国五,1.4,0次过户,2020-5,2020-5,已过期,1.4L 90马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/6894b965910aa475x.htm
大众 捷达 2015款 1.6L 自动舒适型,严选车,¥6.15,新车指导价11.80万(含税),2015-04,2.32万公里,国四,1.6,0次过户,2021-4,2020-4,已过期,1.6L 110马力 L4,6档自动变速箱(AT),https://www.guazi.com/sjz/6277bf51ab4c308ax.htm
大众 朗逸 2013款 改款经典 1.6L 手动舒适版,严选车,¥6.75,新车指导价13.70万(含税),2016-05,6.94万公里,国五,1.6,0次过户,2020-5,2020-4,已过期,1.6L 110马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/fa25b4a3034ae3bdx.htm
奥迪A4L 2013款 30 TFSI 手动舒适型,严选车,¥12.60,新车指导价29.60万(含税),2014-12,8.57万公里,国五,1.8,1次过户,2020-12,2020-3,已过期,1.8T 160马力 L4,6档手动变速箱(MT),https://www.guazi.com/bj/6278f8b2dad46dc9x.htm
大众 宝来 2015款 质惠版 1.6L 自动舒适型,严选车,¥7.59,新车指导价13.60万(含税),2015-09,2.4万公里,国五,1.6,0次过户,2019-9,2019-9,已过期,1.6L 105马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/92190c2fabc1ad5dx.htm
福特 福克斯 2017款 三厢 1.6L 自动舒适型智行版,0过户,¥8.00,新车指导价13.80万(含税),2017-06,1.01万公里,国五,1.6,0次过户,2020-6,2020-6,2020-6,1.6L 125马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/luoyang/026a86a86f71874cx.htm
本田 思域 2013款 十周年纪念 1.8L 自动舒适版,严选车,7.11,原价7.19万,2013-08,6.08万公里,国四,1.8,0次过户,2019-8,2019-8,已过期,1.8L 141马力 L4,5档自动变速箱(AT),https://www.guazi.com/bj/65f0a8dacffaf475x.htm
丰田 雷凌 2014款 1.6G CVT精英版,严选车,¥7.64,新车指导价13.50万(含税),2015-07,2.13万公里,国五,1.6,0次过户,2019-7,2020-7,已过期,1.6L 122马力 L4,8档无级变速箱(CVT),https://www.guazi.com/bj/e8b104762f573406x.htm
奥迪A4L 2013款 35 TFSI 自动舒适型,严选车,15.73,原价16.04万,2014-08,8.92万公里,国四,2.0,0次过户,2020-8,2019-8,已过期,2.0T 180马力 L4,8档无级变速箱(CVT),https://www.guazi.com/bj/3faa5780913fb3c8x.htm
现代 朗动 2012款 1.6L 自动时尚型,严选车,5.96,原价6.37万,2014-07,1.62万公里,国四,1.6,0次过户,2020-7,2019-7,2019-7,1.6L 128马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sjz/0097c418c6f9194bx.htm
大众 速腾 2014款 1.6L 手动舒适型,严选车,6.50,原价6.54万,2014-03,5.31万公里,国四,1.6,0次过户,2020-3,2020-3,已过期,1.6L 105马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/d8e6107cc0eb81c9x.htm
大众 帕萨特 2013款 1.4TSI 手动尊荣版,,¥8.20,新车指导价21.10万(含税),2013-09,6.14万公里,国四,1.4,1次过户,2019-9,2019-11,已过期,1.4T 131马力 L4,5档手动变速箱(MT),https://www.guazi.com/luoyang/bb29e0e53922ba2ex.htm
本田 凌派 2016款 1.8L CVT旗舰版,0过户,¥9.80,新车指导价16.30万(含税),2016-10,2.93万公里,国五,1.8,0次过户,2020-10,2019-11,已过期,1.8L 136马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/nmg/2e19cf0e8a50fbf6x.htm
日产 轩逸 2012款 1.6XL CVT豪华版,严选车,¥7.08,新车指导价14.70万(含税),2013-04,2.98万公里,国四,1.6,0次过户,2020-4,2020-4,已过期,1.6L 126马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/tj/e7e82349398be209x.htm
起亚K4 2014款 1.8L 自动DLX,,¥9.00,新车指导价17.20万(含税),2015-09,2.31万公里,国四,1.8,1次过户,2019-9,2019-9,已过期,1.8L 143马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/jn/1fa8573b586fb412x.htm
大众 朗逸 2013款 1.6L 自动舒适版,严选车,¥5.79,新车指导价15.00万(含税),2013-03,10.01万公里,国四,1.6,0次过户,2020-3,2020-3,已过期,1.6L 105马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/9e74ae7133da7868x.htm
大众 高尔夫 2016款 1.4TSI 自动R-Line,严选车,11.09,原价11.34万,2015-12,2.94万公里,国五,1.4,0次过户,2019-12,2019-12,已过期,1.4T 150马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/643c1ba1f6880c7ax.htm
大众 速腾 2014款 改款 1.4TSI 自动豪华型,严选车,¥9.25,新车指导价18.20万(含税),2014-08,4.8万公里,国四,1.4,0次过户,2020-8,2019-8,已过期,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/3aebf7d6b43400f2x.htm
大众 捷达 2010款 1.6L 伙伴,严选车,¥2.76,新车指导价8.20万(含税),2011-12,8.02万公里,国四,1.6,0次过户,2019-12,2019-12,已过期,1.6L 95马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/aea4795ed8e51febx.htm
现代 索纳塔八 2013款 2.0L 自动豪华版,严选车,7.71,原价8.28万,2014-01,6.25万公里,国四,2.0,0次过户,2020-1,2020-1,已过期,2.0L 162马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sjz/9aa02f2c4891cf0ex.htm
大众 速腾 2015款 230TSI 自动舒适型,严选车,9.91,原价10.19万,2015-12,4.45万公里,国五,1.4,0次过户,2019-12,2020-3,2020-3,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/3a072bca1e61859ex.htm
丰田 威驰 2016款 1.5L 自动智臻星耀版,0过户,¥6.40,新车指导价9.70万(含税),2016-09,4.25万公里,国五,1.5,0次过户,2020-9,2019-12,已过期,1.5L 107马力 L4,4档自动变速箱(AT),https://www.guazi.com/jn/ee9929af7058a12ax.htm
日产 天籁 2011款 2.0L XL舒适版,严选车,7.73,原价8.04万,2011-12,8.65万公里,国四,2.0,0次过户,2019-12,2019-12,已过期,2.0L 136马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/bj/80f8a5b7d96fdf87x.htm
大众 速腾 2013款 2.0TSI GLI,严选车,9.29,原价9.81万,2014-07,9.65万公里,国四,2.0,1次过户,2020-7,2019-7,已过期,2.0T 200马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/bj/2fd0683d2a884bd0x.htm
本田 思铂睿 2013款 2.4L 豪华版,,¥10.00,新车指导价25.80万(含税),2013-12,5.83万公里,国四,2.4,1次过户,2019-12,2019-12,已过期,2.4L 201马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/weifang/170a6dce35e586dcx.htm
日产 轩逸 2016款 1.6XL CVT豪华版,严选车,¥8.92,新车指导价14.70万(含税),2016-10,4.51万公里,国五,1.6,0次过户,2020-10,2019-9,已过期,1.6L 126马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/bj/8a69c2ee1e9ad16dx.htm
日产 轩逸 2014款 1.6XV CVT尊享版,严选车,¥8.10,新车指导价15.00万(含税),2015-10,5.1万公里,国五,1.6,0次过户,2019-10,2019-10,已过期,1.6L 126马力 L4,无级变速档无级变速箱(CVT),https://www.guazi.com/tj/a292312483a48aa6x.htm
雪佛兰 赛欧 2013款 三厢 1.2L AMT理想版,严选车,¥2.71,新车指导价7.30万(含税),2012-09,4.37万公里,国四,1.2,0次过户,2019-9,2019-9,已过期,1.2L 87马力 L4,5档机械式自动变速箱(AMT),https://www.guazi.com/bj/2eb1a0ecede05bfbx.htm
宝马1系 2012款 116i 领先型(进口),严选车,¥11.75,新车指导价28.10万(含税),2013-06,3.64万公里,国四,1.6,0次过户,2020-6,2020-6,已过期,1.6T 136马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/bj/d067672d0a391b32x.htm
标致408 2014款 1.8L 自动豪华版,严选车,¥6.84,新车指导价16.20万(含税),2015-04,6.12万公里,国五,1.8,0次过户,2021-4,2020-3,已过期,1.8L 139马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/a99c0b12ea8d3672x.htm
宝马1系 2012款 116i 领先型(进口),严选车,¥10.86,新车指导价28.10万(含税),2013-01,6.04万公里,国四,1.6,0次过户,2020-1,2019-12,已过期,1.6T 136马力 L4,8档手自一体变速箱(AT),https://www.guazi.com/bj/8cbac300729a080fx.htm
别克 君威 2011款 2.4L SIDI舒适版,严选车,¥6.70,新车指导价22.30万(含税),2011-12,6.89万公里,国四,2.4,0次过户,2019-12,2019-12,已过期,2.4L 186马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sjz/c127935ae5197663x.htm
大众CC 2012款 1.8TSI 尊贵型,严选车,10.50,原价10.81万,2012-07,6.48万公里,国四,1.8,0次过户,2019-7,2019-7,已过期,1.8T 160马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/93ac541eb74e46a8x.htm
吉利 博瑞 2015款 1.8T 旗舰型,严选车,8.99,原价9.07万,2016-04,5.09万公里,国五,1.8,0次过户,2020-4,2020-4,已过期,1.8T 163马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/tj/324f09b0f9f2c896x.htm
大众 迈腾 2012款 2.0TSI 至尊型,严选车,10.06,原价10.49万,2011-10,9.94万公里,国四,2.0,0次过户,2019-10,2019-10,已过期,2.0T 200马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/bj/37ae6c83dfe3cafax.htm
福特 福克斯 2012款 三厢 1.6L 自动风尚型,0过户,¥6.00,新车指导价15.60万(含税),2013-07,5.39万公里,国四,1.6,0次过户,2019-7,2019-7,已过期,1.6L 125马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/dl/4ab4c6e38b4550bex.htm
福特 福睿斯 2015款 1.5L 自动时尚型,严选车,¥5.83,新车指导价13.00万(含税),2015-08,5.95万公里,国五,1.5,0次过户,2019-8,2019-8,2019-8,1.5L 113马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/sjz/402b348b0ed799dcx.htm
马自达6 2011款 2.0L 自动时尚型,严选车,¥5.51,新车指导价19.50万(含税),2012-01,8.84万公里,国四,2.0,0次过户,2020-1,2019-12,已过期,2.0L 146马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/bj/eba0931ea7b02a8dx.htm
大众 途观 2012款 1.8TSI 手动两驱进享版,严选车,8.93,原价9.11万,2012-11,2.75万公里,国四,1.8,0次过户,2019-11,2020-3,已过期,1.8T 160马力 L4,6档手动变速箱(MT),https://www.guazi.com/bj/ddaf88e00ecc9a23x.htm
雪铁龙C5 2014款 2.0L 自动尊享型,严选车,8.60,原价8.78万,2015-10,5.25万公里,国五,2.0,0次过户,2019-10,2019-10,已过期,2.0L 147马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/71d987faee9ad181x.htm
别克 威朗 2015款 三厢 20T 双离合领先型,严选车,8.38,原价8.68万,2016-05,6.85万公里,国五,1.5,0次过户,2020-5,2020-5,已过期,1.5T 169马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/sjz/5359c756b6ecaea6x.htm
福特 蒙迪欧-致胜 2011款 2.0L GTDi200时尚型,降价急售,¥6.40,新车指导价21.70万(含税),2012-08,8.33万公里,国四,2.0,0次过户,2019-8,2019-11,已过期,2.0T 203马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/bj/ef93220a085c47ebx.htm
大众 宝来 2011款 1.6L 手动时尚型,严选车,¥3.64,新车指导价11.70万(含税),2011-09,5.75万公里,国四,1.6,0次过户,2019-9,2019-9,已过期,1.6L 105马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/1e31f7fca3586a47x.htm
奔驰C级 2011款 C 180K 经典型,严选车,11.78,原价12.14万,2012-04,6.15万公里,国四,1.6,1次过户,2020-4,2020-4,已过期,1.6T 156马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/tj/48dfe1e92b09ac4ex.htm
斯柯达 晶锐 2012款 1.4L 手动晶致版,严选车,¥3.32,新车指导价8.60万(含税),2013-02,1.97万公里,国四,1.4,0次过户,2020-2,2020-6,已过期,1.4L 86马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/d27239dfe4d54f86x.htm
MG3 2013款 1.5L AMT精英版,严选车,¥2.98,新车指导价9.70万(含税),2013-05,8.41万公里,国四,1.5,2次过户,2020-5,2020-5,已过期,1.5L 109马力 L4,5档机械式自动变速箱(AMT),https://www.guazi.com/tj/3571e6b3b065e32fx.htm
别克 君越 2012款 2.4L SIDI雅致版,严选车,7.97,原价8.14万,2012-12,8.25万公里,国四,2.4,0次过户,2019-12,2019-12,已过期,2.4L 186马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/tj/2cc7e2b4f2e83cb3x.htm
比亚迪F3 2012款 节能版 1.5L 手动舒适型,降价急售,¥2.70,新车指导价4.80万(含税),2017-01,2.89万公里,国五,1.5,0次过户,2021-1,2020-2,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/zz/98ba0c0516941a4dx.htm
长安 悦翔V3 2015款 1.4L 手动温馨型 国V,严选车,2.53,原价2.57万,2016-03,4.97万公里,国五,1.4,0次过户,2020-3,2020-2,2020-2,1.4L 101马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/d23be0fa38e6b58dx.htm
北汽绅宝 绅宝D70 2013款 2.0T 精英版,严选车,¥3.95,新车指导价18.00万(含税),2013-07,4.26万公里,国四,2.0,0次过户,2019-7,2019-7,已过期,2.0T 204马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/bj/45ce96bee4c82732x.htm
铃木 启悦 2015款 1.6L 自动舒享型,降价急售,¥5.20,新车指导价10.00万(含税),2016-07,6.93万公里,国五,1.6,1次过户,2020-7,2019-7,已过期,1.6L 122马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/dl/5993f5d3ab728d19x.htm
比亚迪 速锐 2014款 1.5L 手动豪华型,严选车,3.53,原价3.63万,2014-07,1.97万公里,国四,1.5,0次过户,2020-7,2019-7,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/sjz/d52883d63716d70fx.htm
雪佛兰 爱唯欧 2011款 三厢 1.4L MT SE,降价急售,¥2.60,新车指导价9.50万(含税),2013-09,5.16万公里,国四,1.4,0次过户,2019-9,2019-12,已过期,1.4L 103马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/3973fbca0775f786x.htm
现代 瑞纳 2014款 1.4L 手动智能型GLS,严选车,¥4.30,新车指导价8.60万(含税),2015-04,2.19万公里,国四,1.4,1次过户,2021-4,2020-4,已过期,1.4L 107马力 L4,5档手动变速箱(MT),https://www.guazi.com/sjz/2c86d2ce8ad463d2x.htm
丰田 威驰 2014款 1.3L 手动型尚版,严选车,¥4.58,新车指导价8.20万(含税),2016-01,3.23万公里,国五,1.3,1次过户,2020-1,2019-12,已过期,1.3L 99马力 L4,5档手动变速箱(MT),https://www.guazi.com/sjz/f3103d37ae87dac3x.htm
雪佛兰 2015款 赛欧3 1.5L 手动理想天窗版,严选车,3.77,原价3.82万,2016-12,2.12万公里,国五,1.5,1次过户,2020-12,2019-12,已过期,1.5L 113马力 L4,5档手动变速箱(MT),https://www.guazi.com/tj/c599c63f640e0af0x.htm
标致207 2011款 三厢 1.4L 手动驭乐版,严选车,¥2.79,新车指导价8.10万(含税),2014-03,4.38万公里,国四,1.4,0次过户,2020-3,2020-3,已过期,1.4L 76马力 L4,5档手动变速箱(MT),https://www.guazi.com/sjz/1e8cbca5e33d13c0x.htm
别克 昂科拉 2013款 1.4T 自动两驱领先型,严选车,6.58,原价6.75万,2013-03,2.35万公里,国四,1.4,0次过户,2020-3,2019-9,已过期,1.4T 140马力 L4,6档手自一体变速箱(AT),https://www.guazi.com/bj/01a5008512b4ef66x.htm
福特 福克斯 2012款 两厢 1.6L 自动风尚型,严选车,4.84,原价5.13万,2013-10,6.99万公里,国四,1.6,0次过户,2019-10,2019-10,已过期,1.6L 125马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/bj/192977b385b6d4afx.htm
大众 迈腾 2012款 1.8TSI 豪华型,严选车,9.04,原价9.49万,2012-06,11.35万公里,国四,1.8,0次过户,2019-6,2019-6,已过期,1.8T 160马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/25ae959752e7d8aax.htm
大众 帕萨特 2014款 1.8TSI DSG御尊版,严选车,10.66,原价10.85万,2014-08,12.35万公里,国五,1.8,0次过户,2020-8,2019-8,已过期,1.8T 160马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/800359d075f80109x.htm
斯柯达Yeti 2014款 1.8TSI DSG极地版,严选车,8.13,原价8.77万,2014-05,9.25万公里,国四,1.8,0次过户,2020-5,2019-5,2019-5,1.8T 160马力 L4,6档双离合变速箱(DCT),https://www.guazi.com/bj/175d1442656355c5x.htm
大众CC 2012款 1.8TSI 豪华型,严选车,12.74,原价12.94万,2013-05,5.13万公里,国四,1.8,0次过户,2020-5,2020-5,已过期,1.8T 160马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/bj/7d5802d06e4d152ax.htm
斯柯达 昊锐 2012款 1.4TSI DSG智雅版,严选车,6.03,原价6.35万,2012-12,10.92万公里,国四,1.4,0次过户,2019-12,2019-12,已过期,1.4T 131马力 L4,7档双离合变速箱(DCT),https://www.guazi.com/sjz/cd689c11ee4d8cadx.htm
三菱 劲炫ASX 2013款 2.0L CVT两驱精英版,严选车,8.15,原价8.74万,2016-01,2.72万公里,国五,2.0,0次过户,2020-1,2020-1,已过期,2.0L 167马力 L4,6档无级变速箱(CVT),https://www.guazi.com/sjz/d1b4d5008d572b2cx.htm
福特 福克斯 2012款 两厢经典 1.8L 手动基本型,严选车,¥3.65,新车指导价10.80万(含税),2012-08,3.64万公里,国四,1.8,0次过户,2019-8,2019-8,已过期,1.8L 124马力 L4,5档手动变速箱(MT),https://www.guazi.com/sjz/e95556e0450cbc04x.htm
奔腾B70 2011款 2.0L 自动豪华型,严选车,¥3.90,新车指导价16.90万(含税),2012-08,5.69万公里,国四,2.0,0次过户,2019-8,2019-8,已过期,2.0L 146马力 L4,5档手自一体变速箱(AT),https://www.guazi.com/tj/d09d92f07b2fb877x.htm
荣威350 2012款 1.5L 手动新禧超值版,严选车,3.18,原价3.31万,2012-09,2.37万公里,国四,1.5,0次过户,2019-9,2019-9,已过期,1.5L 109马力 L4,5档手动变速箱(MT),https://www.guazi.com/sjz/00412a78cb4b1b75x.htm
荣威550 2012款 550 1.8L 手动超值版,严选车,¥3.61,新车指导价13.90万(含税),2013-11,6.41万公里,国四,1.8,0次过户,2019-11,2020-2,已过期,1.8L 133马力 L4,5档手动变速箱(MT),https://www.guazi.com/sjz/7fd8ad87ff291855x.htm
雪佛兰 科鲁兹 2012款 1.6L SL天地版 MT,严选车,3.62,原价3.76万,2012-05,9.9万公里,国四,1.6,0次过户,2020-5,2019-7,已过期,1.6L 117马力 L4,5档手动变速箱(MT),https://www.guazi.com/bj/a452ffb0ebc10d42x.htm
马自达3 2010款 1.6L 自动经典精英型,严选车,4.19,原价4.35万,2011-08,8.2万公里,国四,1.6,1次过户,2019-8,2019-8,已过期,1.6L 107马力 L4,4档手自一体变速箱(AT),https://www.guazi.com/sjz/50429de3157d58d8x.htm
